ADDRESS,POINTS
81 5400 DALHOUSIE DR NW,-6383.808 6927.093|-6392.525 6932.930|-6488.700 6788.855|-6487.441 6782.517|-6367.639 6702.312|-6364.835 6700.600|-6361.913 6699.110|-6358.873 6697.853|-6355.748 6696.852|-6353.623 6696.474|-6351.463 6696.530|-6349.351 6697.008|-6347.380 6697.886|-6344.598 6699.632|-6341.956 6701.589|-6339.481 6703.746|-6337.188 6706.104|-6333.099 6710.641|-6248.898 6836.769|-6265.333 6847.766|-6280.761 6858.096|-6297.196 6869.104|-6312.617 6879.434|-6320.844 6884.939|-6329.058 6890.432|-6336.769 6895.602|-6344.479 6900.762|-6360.669 6911.603|-6368.380 6916.763|-6376.090 6921.922
82 5400 DALHOUSIE DR NW,-6383.808 6927.093|-6392.525 6932.930|-6488.700 6788.855|-6487.441 6782.517|-6367.639 6702.312|-6364.835 6700.600|-6361.913 6699.110|-6358.873 6697.853|-6355.748 6696.852|-6353.623 6696.474|-6351.463 6696.530|-6349.351 6697.008|-6347.380 6697.886|-6344.598 6699.632|-6341.956 6701.589|-6339.481 6703.746|-6337.188 6706.104|-6333.099 6710.641|-6248.898 6836.769|-6265.333 6847.766|-6280.761 6858.096|-6297.196 6869.104|-6312.617 6879.434|-6320.844 6884.939|-6329.058 6890.432|-6336.769 6895.602|-6344.479 6900.762|-6360.669 6911.603|-6368.380 6916.763|-6376.090 6921.922
83 5400 DALHOUSIE DR NW,-6383.808 6927.093|-6392.525 6932.930|-6488.700 6788.855|-6487.441 6782.517|-6367.639 6702.312|-6364.835 6700.600|-6361.913 6699.110|-6358.873 6697.853|-6355.748 6696.852|-6353.623 6696.474|-6351.463 6696.530|-6349.351 6697.008|-6347.380 6697.886|-6344.598 6699.632|-6341.956 6701.589|-6339.481 6703.746|-6337.188 6706.104|-6333.099 6710.641|-6248.898 6836.769|-6265.333 6847.766|-6280.761 6858.096|-6297.196 6869.104|-6312.617 6879.434|-6320.844 6884.939|-6329.058 6890.432|-6336.769 6895.602|-6344.479 6900.762|-6360.669 6911.603|-6368.380 6916.763|-6376.090 6921.922
84 5400 DALHOUSIE DR NW,-6383.808 6927.093|-6392.525 6932.930|-6488.700 6788.855|-6487.441 6782.517|-6367.639 6702.312|-6364.835 6700.600|-6361.913 6699.110|-6358.873 6697.853|-6355.748 6696.852|-6353.623 6696.474|-6351.463 6696.530|-6349.351 6697.008|-6347.380 6697.886|-6344.598 6699.632|-6341.956 6701.589|-6339.481 6703.746|-6337.188 6706.104|-6333.099 6710.641|-6248.898 6836.769|-6265.333 6847.766|-6280.761 6858.096|-6297.196 6869.104|-6312.617 6879.434|-6320.844 6884.939|-6329.058 6890.432|-6336.769 6895.602|-6344.479 6900.762|-6360.669 6911.603|-6368.380 6916.763|-6376.090 6921.922
85 5400 DALHOUSIE DR NW,-6383.808 6927.093|-6392.525 6932.930|-6488.700 6788.855|-6487.441 6782.517|-6367.639 6702.312|-6364.835 6700.600|-6361.913 6699.110|-6358.873 6697.853|-6355.748 6696.852|-6353.623 6696.474|-6351.463 6696.530|-6349.351 6697.008|-6347.380 6697.886|-6344.598 6699.632|-6341.956 6701.589|-6339.481 6703.746|-6337.188 6706.104|-6333.099 6710.641|-6248.898 6836.769|-6265.333 6847.766|-6280.761 6858.096|-6297.196 6869.104|-6312.617 6879.434|-6320.844 6884.939|-6329.058 6890.432|-6336.769 6895.602|-6344.479 6900.762|-6360.669 6911.603|-6368.380 6916.763|-6376.090 6921.922
86 5400 DALHOUSIE DR NW,-6383.808 6927.093|-6392.525 6932.930|-6488.700 6788.855|-6487.441 6782.517|-6367.639 6702.312|-6364.835 6700.600|-6361.913 6699.110|-6358.873 6697.853|-6355.748 6696.852|-6353.623 6696.474|-6351.463 6696.530|-6349.351 6697.008|-6347.380 6697.886|-6344.598 6699.632|-6341.956 6701.589|-6339.481 6703.746|-6337.188 6706.104|-6333.099 6710.641|-6248.898 6836.769|-6265.333 6847.766|-6280.761 6858.096|-6297.196 6869.104|-6312.617 6879.434|-6320.844 6884.939|-6329.058 6890.432|-6336.769 6895.602|-6344.479 6900.762|-6360.669 6911.603|-6368.380 6916.763|-6376.090 6921.922
87 5400 DALHOUSIE DR NW,-6383.808 6927.093|-6392.525 6932.930|-6488.700 6788.855|-6487.441 6782.517|-6367.639 6702.312|-6364.835 6700.600|-6361.913 6699.110|-6358.873 6697.853|-6355.748 6696.852|-6353.623 6696.474|-6351.463 6696.530|-6349.351 6697.008|-6347.380 6697.886|-6344.598 6699.632|-6341.956 6701.589|-6339.481 6703.746|-6337.188 6706.104|-6333.099 6710.641|-6248.898 6836.769|-6265.333 6847.766|-6280.761 6858.096|-6297.196 6869.104|-6312.617 6879.434|-6320.844 6884.939|-6329.058 6890.432|-6336.769 6895.602|-6344.479 6900.762|-6360.669 6911.603|-6368.380 6916.763|-6376.090 6921.922
88 5400 DALHOUSIE DR NW,-6383.808 6927.093|-6392.525 6932.930|-6488.700 6788.855|-6487.441 6782.517|-6367.639 6702.312|-6364.835 6700.600|-6361.913 6699.110|-6358.873 6697.853|-6355.748 6696.852|-6353.623 6696.474|-6351.463 6696.530|-6349.351 6697.008|-6347.380 6697.886|-6344.598 6699.632|-6341.956 6701.589|-6339.481 6703.746|-6337.188 6706.104|-6333.099 6710.641|-6248.898 6836.769|-6265.333 6847.766|-6280.761 6858.096|-6297.196 6869.104|-6312.617 6879.434|-6320.844 6884.939|-6329.058 6890.432|-6336.769 6895.602|-6344.479 6900.762|-6360.669 6911.603|-6368.380 6916.763|-6376.090 6921.922
89 5400 DALHOUSIE DR NW,-6383.808 6927.093|-6392.525 6932.930|-6488.700 6788.855|-6487.441 6782.517|-6367.639 6702.312|-6364.835 6700.600|-6361.913 6699.110|-6358.873 6697.853|-6355.748 6696.852|-6353.623 6696.474|-6351.463 6696.530|-6349.351 6697.008|-6347.380 6697.886|-6344.598 6699.632|-6341.956 6701.589|-6339.481 6703.746|-6337.188 6706.104|-6333.099 6710.641|-6248.898 6836.769|-6265.333 6847.766|-6280.761 6858.096|-6297.196 6869.104|-6312.617 6879.434|-6320.844 6884.939|-6329.058 6890.432|-6336.769 6895.602|-6344.479 6900.762|-6360.669 6911.603|-6368.380 6916.763|-6376.090 6921.922
90 5400 DALHOUSIE DR NW,-6383.808 6927.093|-6392.525 6932.930|-6488.700 6788.855|-6487.441 6782.517|-6367.639 6702.312|-6364.835 6700.600|-6361.913 6699.110|-6358.873 6697.853|-6355.748 6696.852|-6353.623 6696.474|-6351.463 6696.530|-6349.351 6697.008|-6347.380 6697.886|-6344.598 6699.632|-6341.956 6701.589|-6339.481 6703.746|-6337.188 6706.104|-6333.099 6710.641|-6248.898 6836.769|-6265.333 6847.766|-6280.761 6858.096|-6297.196 6869.104|-6312.617 6879.434|-6320.844 6884.939|-6329.058 6890.432|-6336.769 6895.602|-6344.479 6900.762|-6360.669 6911.603|-6368.380 6916.763|-6376.090 6921.922
91 5400 DALHOUSIE DR NW,-6383.808 6927.093|-6392.525 6932.930|-6488.700 6788.855|-6487.441 6782.517|-6367.639 6702.312|-6364.835 6700.600|-6361.913 6699.110|-6358.873 6697.853|-6355.748 6696.852|-6353.623 6696.474|-6351.463 6696.530|-6349.351 6697.008|-6347.380 6697.886|-6344.598 6699.632|-6341.956 6701.589|-6339.481 6703.746|-6337.188 6706.104|-6333.099 6710.641|-6248.898 6836.769|-6265.333 6847.766|-6280.761 6858.096|-6297.196 6869.104|-6312.617 6879.434|-6320.844 6884.939|-6329.058 6890.432|-6336.769 6895.602|-6344.479 6900.762|-6360.669 6911.603|-6368.380 6916.763|-6376.090 6921.922
92 5400 DALHOUSIE DR NW,-6383.808 6927.093|-6392.525 6932.930|-6488.700 6788.855|-6487.441 6782.517|-6367.639 6702.312|-6364.835 6700.600|-6361.913 6699.110|-6358.873 6697.853|-6355.748 6696.852|-6353.623 6696.474|-6351.463 6696.530|-6349.351 6697.008|-6347.380 6697.886|-6344.598 6699.632|-6341.956 6701.589|-6339.481 6703.746|-6337.188 6706.104|-6333.099 6710.641|-6248.898 6836.769|-6265.333 6847.766|-6280.761 6858.096|-6297.196 6869.104|-6312.617 6879.434|-6320.844 6884.939|-6329.058 6890.432|-6336.769 6895.602|-6344.479 6900.762|-6360.669 6911.603|-6368.380 6916.763|-6376.090 6921.922
93 5400 DALHOUSIE DR NW,-6383.808 6927.093|-6392.525 6932.930|-6488.700 6788.855|-6487.441 6782.517|-6367.639 6702.312|-6364.835 6700.600|-6361.913 6699.110|-6358.873 6697.853|-6355.748 6696.852|-6353.623 6696.474|-6351.463 6696.530|-6349.351 6697.008|-6347.380 6697.886|-6344.598 6699.632|-6341.956 6701.589|-6339.481 6703.746|-6337.188 6706.104|-6333.099 6710.641|-6248.898 6836.769|-6265.333 6847.766|-6280.761 6858.096|-6297.196 6869.104|-6312.617 6879.434|-6320.844 6884.939|-6329.058 6890.432|-6336.769 6895.602|-6344.479 6900.762|-6360.669 6911.603|-6368.380 6916.763|-6376.090 6921.922
