ADDRESS,POINTS
78V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
79V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
80V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
81V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
82V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
83V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
84V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
85V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
86V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
87V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
88V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
89V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
90V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
91V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
92V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
93V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
94V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
95V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
96V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
97V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
98V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
99V 63 CORNER GLEN CR NE,9366.443 13053.155|9369.044 13053.066|9371.644 13053.177|9381.871 13053.855|9392.112 13054.222|9398.166 13054.211|9421.521 13054.200|9422.122 13054.267|9422.696 13054.478|9423.213 13054.800|9423.639 13055.223|9424.898 13056.524|9426.394 13057.547|9428.057 13058.247|9429.833 13058.614|9429.924 13173.234|9337.328 13173.490|9332.833 13169.009|9332.805 13095.298|9332.924 13092.318|9333.288 13089.360|9333.896 13086.446|9334.735 13083.578|9335.804 13080.798|9337.104 13078.118|9338.614 13075.538|9340.334 13073.103|9342.242 13070.812|9344.339 13068.689|9346.597 13066.732|9349.009 13064.975|9351.554 13063.418|9354.224 13062.073|9356.992 13060.949|9359.844 13060.060|9359.865 13060.093|9359.488 13059.059|9357.866 13054.533|9358.985 13054.233|9361.305 13053.733|9364.919 13053.266
