ADDRESS,POINTS
1041 CANFIELD CR SW,-582.788 -11089.933|-617.636 -11089.910|-617.650 -11100.596|-582.795 -11100.618
1043 CANFIELD CR SW,-582.795 -11100.618|-617.650 -11100.596|-617.657 -11108.491|-582.802 -11108.513
110 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
112 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
211 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
202 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
208 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
205 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
201 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
203 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
204 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
206 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
207 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
209 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
210 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
212 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
317 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
302 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
314 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
305 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
311 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
308 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
301 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
303 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
304 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
306 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
307 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
309 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
310 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
312 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
313 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
