ADDRESS,POINTS
407 2422 ERLTON ST SW,668.179 -1925.091|704.620 -1925.269|704.935 -1865.268|687.689 -1865.179|687.654 -1868.682|675.700 -1868.615|675.756 -1862.633|661.747 -1862.600|657.889 -1862.588|657.847 -1868.571|639.979 -1868.471|640.000 -1865.012|630.696 -1864.957|630.738 -1858.652|625.949 -1858.630|625.649 -1932.430|630.102 -1936.956|673.652 -1937.133|673.282 -1935.666|672.660 -1934.287|671.807 -1933.030|670.751 -1931.952|669.528 -1931.062|668.165 -1930.406|667.368 -1930.139|666.543 -1929.961|666.571 -1925.080
408 2422 ERLTON ST SW,668.179 -1925.091|704.620 -1925.269|704.935 -1865.268|687.689 -1865.179|687.654 -1868.682|675.700 -1868.615|675.756 -1862.633|661.747 -1862.600|657.889 -1862.588|657.847 -1868.571|639.979 -1868.471|640.000 -1865.012|630.696 -1864.957|630.738 -1858.652|625.949 -1858.630|625.649 -1932.430|630.102 -1936.956|673.652 -1937.133|673.282 -1935.666|672.660 -1934.287|671.807 -1933.030|670.751 -1931.952|669.528 -1931.062|668.165 -1930.406|667.368 -1930.139|666.543 -1929.961|666.571 -1925.080
409 2422 ERLTON ST SW,668.179 -1925.091|704.620 -1925.269|704.935 -1865.268|687.689 -1865.179|687.654 -1868.682|675.700 -1868.615|675.756 -1862.633|661.747 -1862.600|657.889 -1862.588|657.847 -1868.571|639.979 -1868.471|640.000 -1865.012|630.696 -1864.957|630.738 -1858.652|625.949 -1858.630|625.649 -1932.430|630.102 -1936.956|673.652 -1937.133|673.282 -1935.666|672.660 -1934.287|671.807 -1933.030|670.751 -1931.952|669.528 -1931.062|668.165 -1930.406|667.368 -1930.139|666.543 -1929.961|666.571 -1925.080
410 2422 ERLTON ST SW,668.179 -1925.091|704.620 -1925.269|704.935 -1865.268|687.689 -1865.179|687.654 -1868.682|675.700 -1868.615|675.756 -1862.633|661.747 -1862.600|657.889 -1862.588|657.847 -1868.571|639.979 -1868.471|640.000 -1865.012|630.696 -1864.957|630.738 -1858.652|625.949 -1858.630|625.649 -1932.430|630.102 -1936.956|673.652 -1937.133|673.282 -1935.666|672.660 -1934.287|671.807 -1933.030|670.751 -1931.952|669.528 -1931.062|668.165 -1930.406|667.368 -1930.139|666.543 -1929.961|666.571 -1925.080
411 2422 ERLTON ST SW,668.179 -1925.091|704.620 -1925.269|704.935 -1865.268|687.689 -1865.179|687.654 -1868.682|675.700 -1868.615|675.756 -1862.633|661.747 -1862.600|657.889 -1862.588|657.847 -1868.571|639.979 -1868.471|640.000 -1865.012|630.696 -1864.957|630.738 -1858.652|625.949 -1858.630|625.649 -1932.430|630.102 -1936.956|673.652 -1937.133|673.282 -1935.666|672.660 -1934.287|671.807 -1933.030|670.751 -1931.952|669.528 -1931.062|668.165 -1930.406|667.368 -1930.139|666.543 -1929.961|666.571 -1925.080
501 2422 ERLTON ST SW,668.179 -1925.091|704.620 -1925.269|704.935 -1865.268|687.689 -1865.179|687.654 -1868.682|675.700 -1868.615|675.756 -1862.633|661.747 -1862.600|657.889 -1862.588|657.847 -1868.571|639.979 -1868.471|640.000 -1865.012|630.696 -1864.957|630.738 -1858.652|625.949 -1858.630|625.649 -1932.430|630.102 -1936.956|673.652 -1937.133|673.282 -1935.666|672.660 -1934.287|671.807 -1933.030|670.751 -1931.952|669.528 -1931.062|668.165 -1930.406|667.368 -1930.139|666.543 -1929.961|666.571 -1925.080
502 2422 ERLTON ST SW,668.179 -1925.091|704.620 -1925.269|704.935 -1865.268|687.689 -1865.179|687.654 -1868.682|675.700 -1868.615|675.756 -1862.633|661.747 -1862.600|657.889 -1862.588|657.847 -1868.571|639.979 -1868.471|640.000 -1865.012|630.696 -1864.957|630.738 -1858.652|625.949 -1858.630|625.649 -1932.430|630.102 -1936.956|673.652 -1937.133|673.282 -1935.666|672.660 -1934.287|671.807 -1933.030|670.751 -1931.952|669.528 -1931.062|668.165 -1930.406|667.368 -1930.139|666.543 -1929.961|666.571 -1925.080
503 2422 ERLTON ST SW,668.179 -1925.091|704.620 -1925.269|704.935 -1865.268|687.689 -1865.179|687.654 -1868.682|675.700 -1868.615|675.756 -1862.633|661.747 -1862.600|657.889 -1862.588|657.847 -1868.571|639.979 -1868.471|640.000 -1865.012|630.696 -1864.957|630.738 -1858.652|625.949 -1858.630|625.649 -1932.430|630.102 -1936.956|673.652 -1937.133|673.282 -1935.666|672.660 -1934.287|671.807 -1933.030|670.751 -1931.952|669.528 -1931.062|668.165 -1930.406|667.368 -1930.139|666.543 -1929.961|666.571 -1925.080
504 2422 ERLTON ST SW,668.179 -1925.091|704.620 -1925.269|704.935 -1865.268|687.689 -1865.179|687.654 -1868.682|675.700 -1868.615|675.756 -1862.633|661.747 -1862.600|657.889 -1862.588|657.847 -1868.571|639.979 -1868.471|640.000 -1865.012|630.696 -1864.957|630.738 -1858.652|625.949 -1858.630|625.649 -1932.430|630.102 -1936.956|673.652 -1937.133|673.282 -1935.666|672.660 -1934.287|671.807 -1933.030|670.751 -1931.952|669.528 -1931.062|668.165 -1930.406|667.368 -1930.139|666.543 -1929.961|666.571 -1925.080
505 2422 ERLTON ST SW,668.179 -1925.091|704.620 -1925.269|704.935 -1865.268|687.689 -1865.179|687.654 -1868.682|675.700 -1868.615|675.756 -1862.633|661.747 -1862.600|657.889 -1862.588|657.847 -1868.571|639.979 -1868.471|640.000 -1865.012|630.696 -1864.957|630.738 -1858.652|625.949 -1858.630|625.649 -1932.430|630.102 -1936.956|673.652 -1937.133|673.282 -1935.666|672.660 -1934.287|671.807 -1933.030|670.751 -1931.952|669.528 -1931.062|668.165 -1930.406|667.368 -1930.139|666.543 -1929.961|666.571 -1925.080
101 2419 ERLTON RD SW,668.179 -1925.091|704.620 -1925.269|704.935 -1865.268|687.689 -1865.179|687.654 -1868.682|675.700 -1868.615|675.756 -1862.633|661.747 -1862.600|657.889 -1862.588|657.847 -1868.571|639.979 -1868.471|640.000 -1865.012|630.696 -1864.957|630.738 -1858.652|625.949 -1858.630|625.649 -1932.430|630.102 -1936.956|673.652 -1937.133|673.282 -1935.666|672.660 -1934.287|671.807 -1933.030|670.751 -1931.952|669.528 -1931.062|668.165 -1930.406|667.368 -1930.139|666.543 -1929.961|666.571 -1925.080
