ADDRESS,POINTS
2605 EVERSYDE AV SW,-3546.471 -15570.176|-3546.408 -15605.837|-3545.045 -15605.837|-3545.038 -15607.660|-3541.305 -15607.660|-3541.298 -15613.642|-3544.276 -15613.654|-3544.164 -15681.027|-3523.269 -15682.172|-3502.354 -15682.884|-3501.159 -15682.906|-3501.333 -15579.094|-3502.529 -15578.794|-3523.933 -15573.401|-3529.498 -15572.156|-3535.118 -15571.199|-3540.781 -15570.532
230 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
231 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
232 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
233 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
220 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
221 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
222 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
223 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
224 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
225 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
226 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
310 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
311 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
312 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
313 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
314 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
315 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
316 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
317 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
318 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
319 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
320 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
321 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
322 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
323 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
324 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
301 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
302 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
303 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
304 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
305 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
306 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
307 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
308 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
309 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
333 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
334 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
335 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
336 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
337 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
338 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
339 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
325 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
