ADDRESS,POINTS
102 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
104 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
106 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
108 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
110 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
112 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
114 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
116 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
118 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
120 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
122 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
124 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
126 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
128 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
130 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
132 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
134 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
136 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
138 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
140 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
142 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
144 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
