ADDRESS,POINTS
3010 51 ST SW,-6209.157 -2173.334|-6231.324 -2173.467|-6231.324 -2172.667|-6251.967 -2172.800|-6251.443 -2242.653|-6209.046 -2242.786|-6209.109 -2204.057|-6209.137 -2187.467
3008 51 ST SW,-6199.434 -2129.490|-6209.234 -2129.467|-6252.303 -2129.345|-6251.967 -2172.800|-6231.324 -2172.667|-6231.324 -2173.467|-6209.157 -2173.334|-6199.168 -2173.278
111 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
112 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
113 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
114 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
201 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
202 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
203 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
204 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
205 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
206 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
207 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
208 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
209 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
210 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
211 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
212 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
213 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
214 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
215 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
216 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
217 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
218 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
301 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
302 3000 51 ST SW,-6191.702 -2204.024|-6189.388 -2204.024|-6189.325 -2237.226|-6180.042 -2237.204|-6180.035 -2239.706|-6174.555 -2239.695|-6174.562 -2238.294|-6173.226 -2238.294|-6173.226 -2237.193|-6168.403 -2237.182|-6168.487 -2194.516|-6170.878 -2194.516|-6170.975 -2140.954|-6172.031 -2140.954|-6172.038 -2139.853|-6173.513 -2139.853|-6173.506 -2140.954|-6177.134 -2140.965|-6177.141 -2138.463|-6182.615 -2138.474|-6182.615 -2140.976|-6193.792 -2140.998|-6195.016 -2142.922|-6192.814 -2148.593|-6191.884 -2148.593|-6191.821 -2183.897|-6199.154 -2183.919|-6202.670 -2187.455|-6205.809 -2187.455|-6205.788 -2196.240|-6200.615 -2201.410|-6191.709 -2201.399
