ADDRESS,POINTS
900 QUEENSLAND DR SE,3863.917 -12712.533|3859.709 -12712.178|3855.522 -12711.633|3851.369 -12710.899|3847.245 -12709.987|3843.177 -12708.875|3839.150 -12707.596|3835.193 -12706.129|3831.300 -12704.494|3830.852 -12704.294|3826.854 -12702.648|3822.764 -12701.258|3818.598 -12700.124|3814.369 -12699.246|3740.584 -12686.314|3735.733 -12690.016|3735.209 -12698.212|3735.041 -12706.418|3735.244 -12714.624|3735.817 -12722.819|3736.754 -12730.970|3738.054 -12739.087|3739.710 -12747.126|3741.731 -12755.077|3827.679 -12729.457|3829.412 -12728.946|3863.393 -12718.827
536 QUEENSTON GD SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
534 QUEENSTON GD SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
532 QUEENSTON GD SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
530 QUEENSTON GD SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
528 QUEENSTON GD SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
526 QUEENSTON GD SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
524 QUEENSTON GD SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
522 QUEENSTON GD SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
302 QUEENSTON HT SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
304 QUEENSTON HT SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
306 QUEENSTON HT SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
308 QUEENSTON HT SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
310 QUEENSTON HT SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
312 QUEENSTON HT SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
314 QUEENSTON HT SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
316 QUEENSTON HT SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
318 QUEENSTON HT SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
320 QUEENSTON HT SE,3964.196 -12680.854|3956.968 -12650.153|3993.598 -12640.613|3991.941 -12630.761|3974.045 -12613.703|3980.008 -12595.245|3917.087 -12600.238|3871.229 -12603.863|3866.972 -12604.385|3862.778 -12605.230|3858.660 -12606.420|3854.648 -12607.921|3850.768 -12609.745|3847.049 -12611.880|3843.505 -12614.293|3840.171 -12616.995|3837.060 -12619.941|3834.194 -12623.133|3831.586 -12626.546|3829.258 -12630.149|3827.224 -12633.930|3825.505 -12637.855|3824.093 -12641.914|3823.016 -12646.072|3816.123 -12677.552|3822.240 -12679.386|3828.203 -12681.677|3833.991 -12684.379|3839.569 -12687.492|3839.870 -12687.670|3842.827 -12689.360|3845.868 -12690.895|3848.993 -12692.274|3852.180 -12693.475|3855.424 -12694.520|3858.716 -12695.387|3862.051 -12696.088|3865.420 -12696.610|3868.811 -12696.955|3872.215 -12697.122|3875.619 -12697.122|3879.024 -12696.933|3882.407 -12696.566|3885.776 -12696.032|3889.104 -12695.320|3892.396 -12694.431|3895.018 -12693.641|3897.541 -12692.674|3899.897 -12691.340|3902.022 -12689.661|3903.868 -12687.681|3905.063 -12686.380|3906.419 -12685.268|3907.915 -12684.334|3909.516 -12683.623|3911.208 -12683.133|3912.948 -12682.878|3914.703 -12682.867|3916.451 -12683.089|3918.142 -12683.545|3919.764 -12684.234|3921.274 -12685.135|3922.651 -12686.225|3923.868 -12687.503|3924.895 -12688.927|3925.720 -12690.483|3926.335 -12692.140
