ADDRESS,POINTS
3000 1540 SHERWOOD BV NW,-6073.444 12635.006|-6074.458 12630.180|-6086.328 12606.329|-6078.589 12606.240|-6068.020 12606.129|-6060.820 12604.505|-6050.711 12602.215|-6048.286 12601.670|-6040.673 12599.713|-6034.689 12597.811|-6028.796 12595.621|-6023.015 12593.152|-6017.367 12590.417|-6011.851 12587.404|-6006.490 12584.123|-6001.296 12580.587|-5996.276 12576.807|-5991.907 12573.193|-5987.699 12569.379|-5986.972 12568.689|-5979.450 12561.584|-5972.600 12555.113|-5965.393 12563.141|-5961.261 12567.466|-5957.039 12571.703|-5952.726 12575.839|-5948.315 12579.876|-5943.820 12583.812|-5939.234 12587.648|-5933.726 12592.040|-5928.098 12596.288|-5920.870 12601.603|-5910.804 12608.987|-5911.181 12609.387|-5916.201 12615.147|-5931.510 12632.360|-5938.808 12639.988|-5946.385 12647.349|-5954.229 12654.421|-5962.324 12661.193|-5963.771 12662.416|-5967.049 12664.929|-5972.166 12668.809|-5977.367 12672.568|-5982.652 12676.215|-5988.021 12679.740|-5993.466 12683.142|-5998.982 12686.423|-6004.574 12689.581|-6010.236 12692.616|-6010.977 12692.983|-6012.774 12693.851|-6022.379 12698.265|-6025.469 12699.544|-6029.146 12692.094|-6031.005 12688.613|-6033.095 12685.277|-6035.409 12682.086|-6037.933 12679.050|-6055.821 12659.091|-6061.477 12652.786|-6059.275 12650.818|-6070.998 12637.730
1208 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
1214 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
1218 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
1220 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
1224 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
1228 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
1230 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
1234 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
1233 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
1229 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
1227 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
1223 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
1308 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
1330 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
1334 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
1333 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
1329 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
95V 1540 SHERWOOD BV NW,-6086.328 12606.329|-6074.458 12630.180|-6073.444 12635.006|-6070.998 12637.730|-6059.275 12650.818|-6061.477 12652.786|-6055.821 12659.091|-6037.933 12679.050|-6035.409 12682.086|-6033.095 12685.277|-6031.005 12688.613|-6029.146 12692.094|-6025.469 12699.544|-6031.201 12701.901|-6036.982 12704.125|-6042.819 12706.226|-6048.691 12708.206|-6054.612 12710.052|-6060.568 12711.764|-6066.566 12713.343|-6072.592 12714.800|-6078.645 12716.123|-6084.734 12717.313|-6090.844 12718.369|-6096.974 12719.292|-6103.126 12720.081|-6109.292 12720.737|-6115.471 12721.249|-6121.658 12721.638|-6126.628 12722.038|-6132.402 12722.350|-6134.366 12722.294|-6136.296 12721.905|-6136.002 12719.492|-6135.862 12718.380|-6123.307 12614.869|-6122.322 12606.707|-6099.141 12606.462
