ADDRESS,POINTS
112V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
113V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
114V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
115V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
116V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
117V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
118V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
119V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
120V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
121V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
122V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
123V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
124V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
125V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
126V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
127V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
128V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
129V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
130V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
131V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
132V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
133V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
134V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
135V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
136V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
137V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
138V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
139V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
140V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
141V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
142V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
143V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
144V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
145V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
146V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
147V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
148V 8500 19 AV SE,11160.780 -1188.480|11160.773 -1201.657|11160.773 -1203.158|11160.773 -1205.126|11160.773 -1208.162|11160.773 -1210.130|11160.766 -1225.097|11160.766 -1230.000|11162.262 -1230.000|11182.772 -1229.956|11185.163 -1229.945|11185.771 -1229.945|11185.771 -1225.075|11185.778 -1223.874|11245.763 -1223.951|11248.357 -1223.951|11250.943 -1223.963|11253.537 -1223.963|11256.130 -1223.963|11258.717 -1223.963|11258.731 -1218.581|11258.731 -1217.469|11246.099 -1217.469|11246.134 -1180.930|11168.246 -1180.986|11166.855 -1181.119|11165.520 -1181.508|11164.275 -1182.142|11163.171 -1182.987|11162.367 -1183.866|11161.710 -1184.855|11161.220 -1185.945|11160.906 -1187.090
