ADDRESS,POINTS
1108 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1107 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1106 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1104 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1102 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1100 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1101 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1103 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1105 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
1109 6224 17 AV SE,8768.576 -1107.074|8808.687 -1112.356|8965.134 -1112.067|8967.133 -1110.966|8969.021 -1109.688|8970.775 -1108.231|8972.397 -1106.630|8973.851 -1104.873|8975.137 -1102.994|8976.242 -1101.003|8977.158 -1098.913|8981.233 -1087.237|8981.170 -1028.582|8976.612 -1024.012|8768.513 -1024.412
