ADDRESS,POINTS
309 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
311 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
312 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
313 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
314 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
315 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
316 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
317 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
318 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
319 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
321 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
323 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
325 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
327 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
329 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
401 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
402 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
403 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
404 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
405 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
406 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
407 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
409 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
411 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
412 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
413 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
414 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
415 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
416 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
417 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
418 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
419 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
421 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
423 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
425 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
427 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
429 333 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
101 335 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
102 335 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
103 335 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
104 335 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
105 335 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
106 335 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
107 335 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
109 335 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
110 335 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
111 335 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
112 335 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
113 335 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
114 335 GARRY CR NE,1115.660 5393.003|1059.576 5392.981|979.143 5420.690|977.542 5421.068|975.893 5421.135|974.264 5420.879|972.719 5420.323|971.307 5419.478|970.083 5418.366|969.098 5417.054|968.385 5415.564|967.140 5412.829|965.512 5410.305|963.533 5408.048|961.241 5406.102|953.859 5400.742|952.412 5399.775|950.888 5398.918|949.308 5398.185|947.672 5397.584|945.994 5397.106|944.289 5396.772|942.555 5396.561|940.814 5396.494|937.773 5396.494|933.209 5391.935|933.209 5364.070|937.773 5359.500|1115.667 5359.489
