ADDRESS,POINTS
4847 DALTON DR NW,-6057.380 6110.166|-6048.055 6104.384|-5962.380 6051.143|-5961.107 6053.934|-5917.151 6150.507|-6033.766 6150.240
11 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
12 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
13 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
14 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
15 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
16 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
17 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
18 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
19 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
20 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
21 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
22 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
23 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
24 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
25 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
26 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
27 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
28 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
29 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
