ADDRESS,POINTS
46 CONFEDERATION VI NW,-1912.712 3979.259|-1944.959 3979.259|-1967.699 3979.259|-2059.533 3979.248|-2103.420 3979.237|-2103.524 3929.489|-2103.643 3851.408|-2088.726 3851.341|-2049.998 3851.363|-2047.657 3851.385|-2044.637 3857.401|-2043.539 3860.159|-2042.910 3863.061|-2042.637 3864.451|-2042.190 3865.785|-2041.575 3867.053|-2040.799 3868.242|-2039.876 3869.310|-2038.828 3870.255|-2037.667 3871.056|-2036.409 3871.701|-2035.081 3872.179|-2033.697 3872.479|-2032.291 3872.612|-2030.879 3872.546|-2029.488 3872.312|-2028.139 3871.901|-2026.853 3871.311|-2025.651 3870.566|-2024.567 3869.677|-2023.609 3868.665|-2022.784 3867.542|-2022.106 3866.308|-2021.596 3865.018|-2021.247 3863.661|-2021.079 3862.271|-2021.086 3860.870|-2021.268 3859.491|-2021.624 3858.135|-2022.155 3856.845|-2022.840 3855.622|-2023.672 3854.510|-2024.644 3853.498|-2025.734 3852.620|-2026.930 3851.897|-2027.853 3851.363|-1993.655 3851.374|-1986.874 3851.374|-1912.747 3851.385
50 CONFEDERATION VI NW,-1912.712 3979.259|-1944.959 3979.259|-1967.699 3979.259|-2059.533 3979.248|-2103.420 3979.237|-2103.524 3929.489|-2103.643 3851.408|-2088.726 3851.341|-2049.998 3851.363|-2047.657 3851.385|-2044.637 3857.401|-2043.539 3860.159|-2042.910 3863.061|-2042.637 3864.451|-2042.190 3865.785|-2041.575 3867.053|-2040.799 3868.242|-2039.876 3869.310|-2038.828 3870.255|-2037.667 3871.056|-2036.409 3871.701|-2035.081 3872.179|-2033.697 3872.479|-2032.291 3872.612|-2030.879 3872.546|-2029.488 3872.312|-2028.139 3871.901|-2026.853 3871.311|-2025.651 3870.566|-2024.567 3869.677|-2023.609 3868.665|-2022.784 3867.542|-2022.106 3866.308|-2021.596 3865.018|-2021.247 3863.661|-2021.079 3862.271|-2021.086 3860.870|-2021.268 3859.491|-2021.624 3858.135|-2022.155 3856.845|-2022.840 3855.622|-2023.672 3854.510|-2024.644 3853.498|-2025.734 3852.620|-2026.930 3851.897|-2027.853 3851.363|-1993.655 3851.374|-1986.874 3851.374|-1912.747 3851.385
54 CONFEDERATION VI NW,-1912.712 3979.259|-1944.959 3979.259|-1967.699 3979.259|-2059.533 3979.248|-2103.420 3979.237|-2103.524 3929.489|-2103.643 3851.408|-2088.726 3851.341|-2049.998 3851.363|-2047.657 3851.385|-2044.637 3857.401|-2043.539 3860.159|-2042.910 3863.061|-2042.637 3864.451|-2042.190 3865.785|-2041.575 3867.053|-2040.799 3868.242|-2039.876 3869.310|-2038.828 3870.255|-2037.667 3871.056|-2036.409 3871.701|-2035.081 3872.179|-2033.697 3872.479|-2032.291 3872.612|-2030.879 3872.546|-2029.488 3872.312|-2028.139 3871.901|-2026.853 3871.311|-2025.651 3870.566|-2024.567 3869.677|-2023.609 3868.665|-2022.784 3867.542|-2022.106 3866.308|-2021.596 3865.018|-2021.247 3863.661|-2021.079 3862.271|-2021.086 3860.870|-2021.268 3859.491|-2021.624 3858.135|-2022.155 3856.845|-2022.840 3855.622|-2023.672 3854.510|-2024.644 3853.498|-2025.734 3852.620|-2026.930 3851.897|-2027.853 3851.363|-1993.655 3851.374|-1986.874 3851.374|-1912.747 3851.385
58 CONFEDERATION VI NW,-1912.712 3979.259|-1944.959 3979.259|-1967.699 3979.259|-2059.533 3979.248|-2103.420 3979.237|-2103.524 3929.489|-2103.643 3851.408|-2088.726 3851.341|-2049.998 3851.363|-2047.657 3851.385|-2044.637 3857.401|-2043.539 3860.159|-2042.910 3863.061|-2042.637 3864.451|-2042.190 3865.785|-2041.575 3867.053|-2040.799 3868.242|-2039.876 3869.310|-2038.828 3870.255|-2037.667 3871.056|-2036.409 3871.701|-2035.081 3872.179|-2033.697 3872.479|-2032.291 3872.612|-2030.879 3872.546|-2029.488 3872.312|-2028.139 3871.901|-2026.853 3871.311|-2025.651 3870.566|-2024.567 3869.677|-2023.609 3868.665|-2022.784 3867.542|-2022.106 3866.308|-2021.596 3865.018|-2021.247 3863.661|-2021.079 3862.271|-2021.086 3860.870|-2021.268 3859.491|-2021.624 3858.135|-2022.155 3856.845|-2022.840 3855.622|-2023.672 3854.510|-2024.644 3853.498|-2025.734 3852.620|-2026.930 3851.897|-2027.853 3851.363|-1993.655 3851.374|-1986.874 3851.374|-1912.747 3851.385
62 CONFEDERATION VI NW,-1912.712 3979.259|-1944.959 3979.259|-1967.699 3979.259|-2059.533 3979.248|-2103.420 3979.237|-2103.524 3929.489|-2103.643 3851.408|-2088.726 3851.341|-2049.998 3851.363|-2047.657 3851.385|-2044.637 3857.401|-2043.539 3860.159|-2042.910 3863.061|-2042.637 3864.451|-2042.190 3865.785|-2041.575 3867.053|-2040.799 3868.242|-2039.876 3869.310|-2038.828 3870.255|-2037.667 3871.056|-2036.409 3871.701|-2035.081 3872.179|-2033.697 3872.479|-2032.291 3872.612|-2030.879 3872.546|-2029.488 3872.312|-2028.139 3871.901|-2026.853 3871.311|-2025.651 3870.566|-2024.567 3869.677|-2023.609 3868.665|-2022.784 3867.542|-2022.106 3866.308|-2021.596 3865.018|-2021.247 3863.661|-2021.079 3862.271|-2021.086 3860.870|-2021.268 3859.491|-2021.624 3858.135|-2022.155 3856.845|-2022.840 3855.622|-2023.672 3854.510|-2024.644 3853.498|-2025.734 3852.620|-2026.930 3851.897|-2027.853 3851.363|-1993.655 3851.374|-1986.874 3851.374|-1912.747 3851.385
66 CONFEDERATION VI NW,-1912.712 3979.259|-1944.959 3979.259|-1967.699 3979.259|-2059.533 3979.248|-2103.420 3979.237|-2103.524 3929.489|-2103.643 3851.408|-2088.726 3851.341|-2049.998 3851.363|-2047.657 3851.385|-2044.637 3857.401|-2043.539 3860.159|-2042.910 3863.061|-2042.637 3864.451|-2042.190 3865.785|-2041.575 3867.053|-2040.799 3868.242|-2039.876 3869.310|-2038.828 3870.255|-2037.667 3871.056|-2036.409 3871.701|-2035.081 3872.179|-2033.697 3872.479|-2032.291 3872.612|-2030.879 3872.546|-2029.488 3872.312|-2028.139 3871.901|-2026.853 3871.311|-2025.651 3870.566|-2024.567 3869.677|-2023.609 3868.665|-2022.784 3867.542|-2022.106 3866.308|-2021.596 3865.018|-2021.247 3863.661|-2021.079 3862.271|-2021.086 3860.870|-2021.268 3859.491|-2021.624 3858.135|-2022.155 3856.845|-2022.840 3855.622|-2023.672 3854.510|-2024.644 3853.498|-2025.734 3852.620|-2026.930 3851.897|-2027.853 3851.363|-1993.655 3851.374|-1986.874 3851.374|-1912.747 3851.385
74 CONFEDERATION VI NW,-1912.712 3979.259|-1944.959 3979.259|-1967.699 3979.259|-2059.533 3979.248|-2103.420 3979.237|-2103.524 3929.489|-2103.643 3851.408|-2088.726 3851.341|-2049.998 3851.363|-2047.657 3851.385|-2044.637 3857.401|-2043.539 3860.159|-2042.910 3863.061|-2042.637 3864.451|-2042.190 3865.785|-2041.575 3867.053|-2040.799 3868.242|-2039.876 3869.310|-2038.828 3870.255|-2037.667 3871.056|-2036.409 3871.701|-2035.081 3872.179|-2033.697 3872.479|-2032.291 3872.612|-2030.879 3872.546|-2029.488 3872.312|-2028.139 3871.901|-2026.853 3871.311|-2025.651 3870.566|-2024.567 3869.677|-2023.609 3868.665|-2022.784 3867.542|-2022.106 3866.308|-2021.596 3865.018|-2021.247 3863.661|-2021.079 3862.271|-2021.086 3860.870|-2021.268 3859.491|-2021.624 3858.135|-2022.155 3856.845|-2022.840 3855.622|-2023.672 3854.510|-2024.644 3853.498|-2025.734 3852.620|-2026.930 3851.897|-2027.853 3851.363|-1993.655 3851.374|-1986.874 3851.374|-1912.747 3851.385
78 CONFEDERATION VI NW,-1912.712 3979.259|-1944.959 3979.259|-1967.699 3979.259|-2059.533 3979.248|-2103.420 3979.237|-2103.524 3929.489|-2103.643 3851.408|-2088.726 3851.341|-2049.998 3851.363|-2047.657 3851.385|-2044.637 3857.401|-2043.539 3860.159|-2042.910 3863.061|-2042.637 3864.451|-2042.190 3865.785|-2041.575 3867.053|-2040.799 3868.242|-2039.876 3869.310|-2038.828 3870.255|-2037.667 3871.056|-2036.409 3871.701|-2035.081 3872.179|-2033.697 3872.479|-2032.291 3872.612|-2030.879 3872.546|-2029.488 3872.312|-2028.139 3871.901|-2026.853 3871.311|-2025.651 3870.566|-2024.567 3869.677|-2023.609 3868.665|-2022.784 3867.542|-2022.106 3866.308|-2021.596 3865.018|-2021.247 3863.661|-2021.079 3862.271|-2021.086 3860.870|-2021.268 3859.491|-2021.624 3858.135|-2022.155 3856.845|-2022.840 3855.622|-2023.672 3854.510|-2024.644 3853.498|-2025.734 3852.620|-2026.930 3851.897|-2027.853 3851.363|-1993.655 3851.374|-1986.874 3851.374|-1912.747 3851.385
82 CONFEDERATION VI NW,-1912.712 3979.259|-1944.959 3979.259|-1967.699 3979.259|-2059.533 3979.248|-2103.420 3979.237|-2103.524 3929.489|-2103.643 3851.408|-2088.726 3851.341|-2049.998 3851.363|-2047.657 3851.385|-2044.637 3857.401|-2043.539 3860.159|-2042.910 3863.061|-2042.637 3864.451|-2042.190 3865.785|-2041.575 3867.053|-2040.799 3868.242|-2039.876 3869.310|-2038.828 3870.255|-2037.667 3871.056|-2036.409 3871.701|-2035.081 3872.179|-2033.697 3872.479|-2032.291 3872.612|-2030.879 3872.546|-2029.488 3872.312|-2028.139 3871.901|-2026.853 3871.311|-2025.651 3870.566|-2024.567 3869.677|-2023.609 3868.665|-2022.784 3867.542|-2022.106 3866.308|-2021.596 3865.018|-2021.247 3863.661|-2021.079 3862.271|-2021.086 3860.870|-2021.268 3859.491|-2021.624 3858.135|-2022.155 3856.845|-2022.840 3855.622|-2023.672 3854.510|-2024.644 3853.498|-2025.734 3852.620|-2026.930 3851.897|-2027.853 3851.363|-1993.655 3851.374|-1986.874 3851.374|-1912.747 3851.385
86 CONFEDERATION VI NW,-1912.712 3979.259|-1944.959 3979.259|-1967.699 3979.259|-2059.533 3979.248|-2103.420 3979.237|-2103.524 3929.489|-2103.643 3851.408|-2088.726 3851.341|-2049.998 3851.363|-2047.657 3851.385|-2044.637 3857.401|-2043.539 3860.159|-2042.910 3863.061|-2042.637 3864.451|-2042.190 3865.785|-2041.575 3867.053|-2040.799 3868.242|-2039.876 3869.310|-2038.828 3870.255|-2037.667 3871.056|-2036.409 3871.701|-2035.081 3872.179|-2033.697 3872.479|-2032.291 3872.612|-2030.879 3872.546|-2029.488 3872.312|-2028.139 3871.901|-2026.853 3871.311|-2025.651 3870.566|-2024.567 3869.677|-2023.609 3868.665|-2022.784 3867.542|-2022.106 3866.308|-2021.596 3865.018|-2021.247 3863.661|-2021.079 3862.271|-2021.086 3860.870|-2021.268 3859.491|-2021.624 3858.135|-2022.155 3856.845|-2022.840 3855.622|-2023.672 3854.510|-2024.644 3853.498|-2025.734 3852.620|-2026.930 3851.897|-2027.853 3851.363|-1993.655 3851.374|-1986.874 3851.374|-1912.747 3851.385
90 CONFEDERATION VI NW,-1912.712 3979.259|-1944.959 3979.259|-1967.699 3979.259|-2059.533 3979.248|-2103.420 3979.237|-2103.524 3929.489|-2103.643 3851.408|-2088.726 3851.341|-2049.998 3851.363|-2047.657 3851.385|-2044.637 3857.401|-2043.539 3860.159|-2042.910 3863.061|-2042.637 3864.451|-2042.190 3865.785|-2041.575 3867.053|-2040.799 3868.242|-2039.876 3869.310|-2038.828 3870.255|-2037.667 3871.056|-2036.409 3871.701|-2035.081 3872.179|-2033.697 3872.479|-2032.291 3872.612|-2030.879 3872.546|-2029.488 3872.312|-2028.139 3871.901|-2026.853 3871.311|-2025.651 3870.566|-2024.567 3869.677|-2023.609 3868.665|-2022.784 3867.542|-2022.106 3866.308|-2021.596 3865.018|-2021.247 3863.661|-2021.079 3862.271|-2021.086 3860.870|-2021.268 3859.491|-2021.624 3858.135|-2022.155 3856.845|-2022.840 3855.622|-2023.672 3854.510|-2024.644 3853.498|-2025.734 3852.620|-2026.930 3851.897|-2027.853 3851.363|-1993.655 3851.374|-1986.874 3851.374|-1912.747 3851.385
94 CONFEDERATION VI NW,-1912.712 3979.259|-1944.959 3979.259|-1967.699 3979.259|-2059.533 3979.248|-2103.420 3979.237|-2103.524 3929.489|-2103.643 3851.408|-2088.726 3851.341|-2049.998 3851.363|-2047.657 3851.385|-2044.637 3857.401|-2043.539 3860.159|-2042.910 3863.061|-2042.637 3864.451|-2042.190 3865.785|-2041.575 3867.053|-2040.799 3868.242|-2039.876 3869.310|-2038.828 3870.255|-2037.667 3871.056|-2036.409 3871.701|-2035.081 3872.179|-2033.697 3872.479|-2032.291 3872.612|-2030.879 3872.546|-2029.488 3872.312|-2028.139 3871.901|-2026.853 3871.311|-2025.651 3870.566|-2024.567 3869.677|-2023.609 3868.665|-2022.784 3867.542|-2022.106 3866.308|-2021.596 3865.018|-2021.247 3863.661|-2021.079 3862.271|-2021.086 3860.870|-2021.268 3859.491|-2021.624 3858.135|-2022.155 3856.845|-2022.840 3855.622|-2023.672 3854.510|-2024.644 3853.498|-2025.734 3852.620|-2026.930 3851.897|-2027.853 3851.363|-1993.655 3851.374|-1986.874 3851.374|-1912.747 3851.385
98 CONFEDERATION VI NW,-1912.712 3979.259|-1944.959 3979.259|-1967.699 3979.259|-2059.533 3979.248|-2103.420 3979.237|-2103.524 3929.489|-2103.643 3851.408|-2088.726 3851.341|-2049.998 3851.363|-2047.657 3851.385|-2044.637 3857.401|-2043.539 3860.159|-2042.910 3863.061|-2042.637 3864.451|-2042.190 3865.785|-2041.575 3867.053|-2040.799 3868.242|-2039.876 3869.310|-2038.828 3870.255|-2037.667 3871.056|-2036.409 3871.701|-2035.081 3872.179|-2033.697 3872.479|-2032.291 3872.612|-2030.879 3872.546|-2029.488 3872.312|-2028.139 3871.901|-2026.853 3871.311|-2025.651 3870.566|-2024.567 3869.677|-2023.609 3868.665|-2022.784 3867.542|-2022.106 3866.308|-2021.596 3865.018|-2021.247 3863.661|-2021.079 3862.271|-2021.086 3860.870|-2021.268 3859.491|-2021.624 3858.135|-2022.155 3856.845|-2022.840 3855.622|-2023.672 3854.510|-2024.644 3853.498|-2025.734 3852.620|-2026.930 3851.897|-2027.853 3851.363|-1993.655 3851.374|-1986.874 3851.374|-1912.747 3851.385
102 CONFEDERATION VI NW,-1912.712 3979.259|-1944.959 3979.259|-1967.699 3979.259|-2059.533 3979.248|-2103.420 3979.237|-2103.524 3929.489|-2103.643 3851.408|-2088.726 3851.341|-2049.998 3851.363|-2047.657 3851.385|-2044.637 3857.401|-2043.539 3860.159|-2042.910 3863.061|-2042.637 3864.451|-2042.190 3865.785|-2041.575 3867.053|-2040.799 3868.242|-2039.876 3869.310|-2038.828 3870.255|-2037.667 3871.056|-2036.409 3871.701|-2035.081 3872.179|-2033.697 3872.479|-2032.291 3872.612|-2030.879 3872.546|-2029.488 3872.312|-2028.139 3871.901|-2026.853 3871.311|-2025.651 3870.566|-2024.567 3869.677|-2023.609 3868.665|-2022.784 3867.542|-2022.106 3866.308|-2021.596 3865.018|-2021.247 3863.661|-2021.079 3862.271|-2021.086 3860.870|-2021.268 3859.491|-2021.624 3858.135|-2022.155 3856.845|-2022.840 3855.622|-2023.672 3854.510|-2024.644 3853.498|-2025.734 3852.620|-2026.930 3851.897|-2027.853 3851.363|-1993.655 3851.374|-1986.874 3851.374|-1912.747 3851.385
106 CONFEDERATION VI NW,-1912.712 3979.259|-1944.959 3979.259|-1967.699 3979.259|-2059.533 3979.248|-2103.420 3979.237|-2103.524 3929.489|-2103.643 3851.408|-2088.726 3851.341|-2049.998 3851.363|-2047.657 3851.385|-2044.637 3857.401|-2043.539 3860.159|-2042.910 3863.061|-2042.637 3864.451|-2042.190 3865.785|-2041.575 3867.053|-2040.799 3868.242|-2039.876 3869.310|-2038.828 3870.255|-2037.667 3871.056|-2036.409 3871.701|-2035.081 3872.179|-2033.697 3872.479|-2032.291 3872.612|-2030.879 3872.546|-2029.488 3872.312|-2028.139 3871.901|-2026.853 3871.311|-2025.651 3870.566|-2024.567 3869.677|-2023.609 3868.665|-2022.784 3867.542|-2022.106 3866.308|-2021.596 3865.018|-2021.247 3863.661|-2021.079 3862.271|-2021.086 3860.870|-2021.268 3859.491|-2021.624 3858.135|-2022.155 3856.845|-2022.840 3855.622|-2023.672 3854.510|-2024.644 3853.498|-2025.734 3852.620|-2026.930 3851.897|-2027.853 3851.363|-1993.655 3851.374|-1986.874 3851.374|-1912.747 3851.385
