ADDRESS,POINTS
325 10 ST NW,-1024.223 770.007|-1024.314 779.147|-1024.398 788.276|-1024.481 797.417|-1024.565 806.557|-1024.656 815.686|-1062.649 815.608|-1062.566 806.468|-1062.475 797.339|-1062.391 788.199|-1062.300 779.058|-1062.216 769.929
225 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
227 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
229 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
218 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
216 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
214 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
212 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
201 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
203 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
404 476 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
403 476 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
402 476 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
401 476 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
305 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
307 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
309 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
311 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
315 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
317 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
321 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
323 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
325 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
327 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
329 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
318 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
314 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
312 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
310 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
301 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
303 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
405 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
407 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
409 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
411 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
415 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
417 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
421 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
423 468 14 ST NW,-1613.702 922.344|-1580.895 922.655|-1581.007 968.345|-1581.070 995.766|-1582.496 995.755|-1582.496 997.000|-1576.568 1010.233|-1587.809 1015.803|-1593.688 1018.717|-1596.212 1019.829|-1598.819 1020.729|-1601.496 1021.385|-1604.216 1021.819|-1605.579 1021.886|-1606.935 1021.797|-1608.270 1021.530|-1609.556 1021.096|-1610.787 1020.507|-1611.933 1019.773|-1612.975 1018.906|-1613.904 1017.916|-1613.904 1015.570|-1613.863 995.477|-1613.800 968.056
