ADDRESS,POINTS
11N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
12N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
13N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
14N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
15N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
16N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
17N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
18N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
19N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
20N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
21N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
22N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
23N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
24N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
25N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
26N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
27N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
28N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
29N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
30N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
31N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
32N 203 LYNNVIEW RD SE,3434.213 -5362.738|3419.106 -5347.504|3415.835 -5366.229|3413.849 -5385.322|3412.766 -5395.785|3423.783 -5404.658|3409.431 -5414.610|3402.888 -5480.371|3413.689 -5511.083|3405.992 -5524.727|3408.194 -5556.150|3413.954 -5579.034|3397.946 -5610.936|3396.667 -5613.493|3397.184 -5614.005|3417.296 -5633.820|3416.471 -5637.712|3421.895 -5628.193|3423.398 -5625.558|3426.719 -5619.743|3489.402 -5655.748|3486.082 -5661.563|3502.635 -5671.070|3506.263 -5673.161|3516.819 -5615.173|3518.098 -5607.589|3519.168 -5599.961|3520.175 -5590.876|3520.895 -5581.770|3521.321 -5572.640|3521.461 -5563.500|3521.244 -5399.310|3521.223 -5382.853|3500.440 -5382.175|3500.224 -5388.869|3436.876 -5386.800|3437.547 -5366.096
