ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
1202 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1203 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1204 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1205 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1206 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1207 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1208 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1209 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1210 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1301 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1302 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1303 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1304 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1305 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1306 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1307 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1308 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1309 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1310 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1401 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1402 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1403 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1404 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1405 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1406 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1407 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1408 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1409 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
1410 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2101 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2102 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2103 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
