ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
253 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
255 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
257 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
259 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
260 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
258 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
256 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
254 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
252 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
239 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
241 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
243 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
242 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
240 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
238 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
225 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
227 4315 RICHARDSON RD SW,Residential,LINCOLN PARK,"DC,S-CI","MULTIPOLYGON (((-114.1341055 51.0165775, -114.1353304 51.0170221, -114.135722 51.0166466, -114.1357199 51.0166288, -114.1357164 51.016614, -114.1357151 51.016599, -114.1357162 51.0165841, -114.1357196 51.0165693, -114.1357252 51.0165547, -114.1357331 51.0165406, -114.1357431 51.016527, -114.1357552 51.0165141, -114.1357692 51.016502, -114.135785 51.0164908, -114.1358024 51.0164807, -114.1358214 51.0164716, -114.1358417 51.0164638, -114.135863 51.0164572, -114.1358853 51.016452, -114.1359083 51.0164481, -114.135922 51.0164457, -114.1359351 51.0164423, -114.1364703 51.015929, -114.1365253 51.0158712, -114.135595 51.0160565, -114.1350506 51.0157668, -114.1349261 51.0158648, -114.1348035 51.0159638, -114.1346827 51.0160636, -114.1345638 51.0161644, -114.1344468 51.016266, -114.1343317 51.0163685, -114.1342185 51.0164718, -114.1341072 51.0165759, -114.1341055 51.0165775)))"
