ADDRESS,POINTS
360 FALSHIRE DR NE,9402.256 6669.732|9414.111 6671.344|9426.023 6672.490|9437.970 6673.179|9449.931 6673.412|9511.691 6673.390|9516.186 6677.894|9516.221 6802.799|9358.209 6802.665|9358.237 6763.391
411 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
412 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
413 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
414 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
415 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
416 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
417 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
418 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
419 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
420 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
421 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
422 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
423 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
424 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
425 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
1526 FALCONRIDGE DR NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
127 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
1528 FALCONRIDGE DR NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
129 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
1530 FALCONRIDGE DR NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
131 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
1532 FALCONRIDGE DR NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
133 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
134 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
135 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
136 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
137 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
138 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
139 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
140 FALCONRIDGE GD NE,9353.154 5933.110|9358.998 5935.612|9364.905 5937.969|9370.875 5940.171|9376.894 5942.217|9382.969 5944.096|9389.092 5945.820|9395.258 5947.387|9401.459 5948.788|9407.701 5950.034|9413.965 5951.101|9420.263 5952.013|9426.582 5952.758|9432.916 5953.347|9439.263 5953.759|9445.617 5954.004|9451.979 5954.092|9490.000 5954.081|9492.642 5954.315|9495.208 5955.004|9497.613 5956.127|9499.780 5957.651|9501.660 5959.530|9503.177 5961.698|9504.296 5964.100|9504.981 5966.658|9508.665 5987.584|9508.700 6106.441|9509.000 6112.123|9334.804 6112.223|9334.769 5989.719|9334.749 5924.915
