ADDRESS,POINTS
6728 36 ST NE,6465.011 7222.971|6465.011 7231.989|6289.732 7232.111|6285.160 7227.541|6285.153 7141.643|6289.920 7141.632|6464.990 7141.521
1150 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
1155 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
1160 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
1165 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
1170 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
1175 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
1180 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
1185 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
1190 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
1235 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
2110 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
2115 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
