ADDRESS,POINTS
11 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
12 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
13 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
14 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
15 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
16 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
17 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
18 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
19 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
20 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
21 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
22 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
23 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
24 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
25 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
26 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
27 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
28 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
29 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
30 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
31 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
32 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
33 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
34 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
35 740 BRACEWOOD DR SW,-3085.659 -10593.392|-3221.253 -10593.436|-3205.986 -10688.285|-3206.063 -10755.558|-3205.951 -10758.216|-3205.608 -10760.851|-3205.042 -10763.442|-3204.245 -10765.977|-3203.238 -10768.435|-3202.015 -10770.792|-3200.596 -10773.038|-3198.988 -10775.151|-3197.199 -10777.108|-3195.248 -10778.909|-3193.144 -10780.533|-3190.914 -10781.956|-3188.558 -10783.190|-3186.112 -10784.213|-3183.588 -10785.014|-3181.002 -10785.592|-3149.475 -10791.163|-3089.790 -10793.765|-3089.818 -10745.039|-3089.685 -10743.027|-3089.287 -10741.047|-3088.636 -10739.135|-3087.735 -10737.333|-3086.819 -10735.488|-3086.148 -10733.542|-3085.749 -10731.529|-3085.617 -10729.472
